 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
2152,2021,Octubre-Diciembre,2021-12-24,Viernes,12:15:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Parque Industrial Prodigi,Calle,Miguel Aleman  Arco Vial  Prque Prodigi,"25.784765, -100.172342",
2155,2021,Octubre-Diciembre,2021-12-24,Viernes,15:10:00,Diverso Con Huida,Investigaciones,911.0,Colonia,Pueblo Nuevo,Calle,Ri Amozac  223 Col Pueblo Nuevo,"25.758295, -100.158519",
2166,2021,Octubre-Diciembre,2021-12-25,Sabado,13:00:00,Alcance,Investigaciones,911.0,Colonia,Rinconada,Avenida,Humberto Ramos Lozano  Virrey De Acuña Rinconada,"25.798082, -100.202237",
2176,2021,Octubre-Diciembre,2021-12-25,Sabado,19:00:00,Diverso,Peritaje,911.0,Colonia,Balcones De Santa Rosa,Calle,Rio Nazas  Rio San Lorenzo Blacones De Santa Rosa,"25.804738, -100.227273",
2178,2021,Octubre-Diciembre,2021-12-25,Sabado,21:00:00,Alcance Con Estrellamiento,Investigaciones,911.0,Colonia,Treboles,Calle,Azucena  Lilas,"25.764976, -100.141793",
2183,2021,Octubre-Diciembre,2021-12-26,Domingo,04:00:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Parque Industrial Monterrey,Avenida,Parque Industrial Monterrey,"25.773406, -100.16928",
2202,2021,Octubre-Diciembre,2021-12-27,Lunes,10:50:00,Alcance,Peritaje,911.0,Colonia,Mision De San Miguel,Avenida,Av De Las Fuentes  Ruiz Cortinez,"25.702811, -100.148293",
2260,2021,Octubre-Diciembre,2021-12-29,Miercoles,21:42:00,Crucero,Peritaje,911.0,Colonia,Bosques  Real,Avenida,Pino Blanco  Saguro Bosque Real,"25.780674, -100.246831",
2262,2021,Octubre-Diciembre,2021-12-30,Jueves,01:15:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Jardines De San Andres,Avenida,Rosas  Jardines De San Andres,"25.799556, -100.241375",
2276,2021,Octubre-Diciembre,2021-12-30,Jueves,17:00:00,Estrellamiento Con Huida,Investigaciones,911.0,Colonia,Balcones Del Mezquital,Calle,Vidriera 516 Fundidora Col Balcones Del Mezquital,"25.754891, -100.240309",
2288,2021,Octubre-Diciembre,2021-12-30,Jueves,20:40:00,Salida De Superficie De Rodamiento,Peritaje,911.0,Colonia,Parque Industrial Finsa,Avenida,Lat Miguel Aleman  Tlc Industrial,"25.783242, -100.144967",
2289,2021,Octubre-Diciembre,2021-12-30,Jueves,20:45:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Moderno,Calle,Calle Elias Flores  Ignacio Aldama,"25.780233, -100.180467",
2290,2021,Octubre-Diciembre,2021-12-31,Viernes,10:40:00,Lateral Con Huida,Peritaje,911.0,Colonia,Moderno,Avenida,Matamoros  Concordia Moderno Apodaca,"25.773343, -100.201638",
2291,2021,Octubre-Diciembre,2021-12-31,Viernes,10:40:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Pueblo Nuevo,Calle,Rio Aguarico  Priv Rio La Silla Pueblo Nuevo,"25.763813, -100.169861",
1,2021,Enero-Marzo,2021-01-01,Viernes,08:20:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Centro,Calle,Jeronimo Treviño   Francisco Naranjo,"25.781367, -100.192461",
3,2021,Enero-Marzo,2021-01-01,Viernes,05:00:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Las Margaritas,Avenida,Tulipan  Alehi Hda Las Margaritas,"25.713416, -100.153949",
7,2021,Enero-Marzo,2021-01-01,Viernes,21:40:00,Alcance Con Huida,Investigaciones,911.0,Colonia,Centro,Avenida,Av Miguel Aleman  Av E Parque Ind Milimex,"25.75294, -100.198703",
22,2021,Enero-Marzo,2021-01-03,Domingo,16:37:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Colinas Del Aeropuero,Avenida,Av Orquidea  Calle Violeta,"25.830508, -100.116934",
25,2021,Enero-Marzo,2021-01-03,Domingo,13:20:00,Crucero,Peritaje,911.0,Colonia,Las Palmas,Calle,Calle Irlanda  Galatea  Col Palmas,"25.773956, -100.263946",
30,2021,Enero-Marzo,2021-01-04,Lunes,08:45:00,De Frente,Solucionado En La Via Publica,911.0,Colonia,Centro,Calle,Gral Geronimo Treviño  Estardo Guajardo,"25.77918, -100.196756",
31,2021,Enero-Marzo,2021-01-04,Lunes,10:30:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Sabta Isabel,Avenida,E Sexta  Av Galaxia,"25.78768, -100.248728",
34,2021,Enero-Marzo,2021-01-04,Lunes,15:50:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Huinala,Carretera,Carr Apodaca Villa Juarez  Sta Anita,"25.729776, -100.147021",
35,2021,Enero-Marzo,2021-01-04,Lunes,15:30:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Carr Miguel Aleman  Restaurante Sierra,"25.76417, -100.192694",
37,2021,Enero-Marzo,2021-01-04,Lunes,14:50:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Fundadores,Avenida,Av Metroplex  Priv Del Rey,"25.807287, -100.249713",
43,2021,Enero-Marzo,2021-01-04,Lunes,20:35:00,Crucero Con Huida,Peritaje,911.0,Colonia,Centro,Calle,Oaxaca  Zaragoza,"25.784979, -100.19133",
56,2021,Enero-Marzo,2021-01-05,Martes,20:10:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Rincon Con Galicia,Carretera,Agua Fria  Zuazua,"25.816462, -100.152846",
57,2021,Enero-Marzo,2021-01-05,Martes,18:23:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Centro,Calle,Calle Morelos  Lat Miguel Aleman,"25.777229, -100.185388",
59,2021,Enero-Marzo,2021-01-06,Miercoles,06:40:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Rinconada Colonial,Carretera,Carlos Salinas De Gortari  Estardo Guajardo,"25.797491, -100.202111",
63,2021,Enero-Marzo,2021-01-06,Miercoles,16:50:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Hda Las Margaritas,Avenida,Av Girasol  Acapulco,"25.714584, -100.15561",
65,2021,Enero-Marzo,2021-01-06,Miercoles,14:00:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Centro,Boulevard,Lat Miguel Aleman  Blvd Tlc,"25.786876, -100.152558",
68,2021,Enero-Marzo,2021-01-06,Miercoles,22:40:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Alemania  Pluvial  Parque Ind Sabinal,"25.756181, -100.174341",
71,2021,Enero-Marzo,2021-01-07,Jueves,07:00:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Huinala,Calle,Morelos  Juarez Agua Fria,"25.741885, -100.160372",
72,2021,Enero-Marzo,2021-01-07,Jueves,10:00:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Joyas Del Pedregal,Avenida,Rohdesia  Norte  Tunez Lomas Del Pedregal,"25.730758, -100.168487",
