 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
2,2021,Enero-Marzo,2021-01-01,Viernes,05:40:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Fresnos,Avenida,Av Fresnos 745,"25.768185, -100.248738",
4,2021,Enero-Marzo,2021-01-01,Viernes,07:30:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Las Margaritas,Avenida,Tulipan  Azalia  Hda Las Margaritas,"25.713039, -100.154072",
9,2021,Enero-Marzo,2021-01-01,Viernes,22:20:00,Alcance,Peritaje,911.0,Colonia,Moderno,Avenida,Santo Domingo  Av Concordia,"25.778058, -100.213616",
10,2021,Enero-Marzo,2021-01-01,Viernes,22:30:00,Atropello,Investigaciones,911.0,Colonia,Metroplex,Avenida,E Sexta  Estelaris  Col Metroplex,"25.797157, -100.2487",
11,2021,Enero-Marzo,2021-01-02,Sabado,00:56:00,Alcance Con Estrellamiento,Investigaciones,911.0,Colonia,Nueva Las Puentes,Avenida,Av O Primera  31 Metroplex,"25.785836, -100.25594",
14,2021,Enero-Marzo,2021-01-02,Sabado,14:40:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Centro,Carretera,Ojo De Agua  Via Matamoros,"25.768759, -100.213128",
15,2021,Enero-Marzo,2021-01-02,Sabado,14:40:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Huinala,Avenida,Av Ruiz Cortinez  Av Dulces Nombres,"25.753849, -100.152558",
26,2021,Enero-Marzo,2021-01-03,Domingo,18:30:00,Alcance,Peritaje,911.0,Colonia,Moderno Apodaca,Avenida,Av Concordia  Sto Domingo,"25.777991, -100.213637",
27,2021,Enero-Marzo,2021-01-03,Domingo,15:00:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Santa Rosa,Carretera,Humberto Ramos Lozano  Felipe Angeles,"25.824509, -100.226981",
28,2021,Enero-Marzo,2021-01-04,Lunes,12:40:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Residencial,Calle,Gaseducto  Londres  Col Renaceres,"25.817888, -100.237937",
32,2021,Enero-Marzo,2021-01-04,Lunes,08:40:00,De Frente,Solucionado En La Via Publica,911.0,Colonia,Villa San Carlos,Avenida,Villa  San Carlos  Villa Soria,"25.734161, -100.157008",
33,2021,Enero-Marzo,2021-01-04,Lunes,14:00:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Humberto Ramos Lozano Mariano Garza,"25.777951, -100.186992",
38,2021,Enero-Marzo,2021-01-04,Lunes,17:00:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Concordia  Alcanford  Col Ebanos,"25.782198, -100.241657",
39,2021,Enero-Marzo,2021-01-04,Lunes,18:30:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Ebanos,Avenida,Chopo  Nardo,"25.778826, -100.237247",
40,2021,Enero-Marzo,2021-01-04,Lunes,19:30:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Miguel Aleman  Arco Vial,"25.780424, -100.175222",
42,2021,Enero-Marzo,2021-01-04,Lunes,17:30:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Cam Sto Domingo  Mezquital  Sta Rosa,"25.76886, -100.230512",
45,2021,Enero-Marzo,2021-01-04,Lunes,13:55:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Lat Miguel Aleman  Andres Guajardo,"25.775619, -100.186055",
46,2021,Enero-Marzo,2021-01-04,Lunes,19:40:00,De Frente,Solucionado En La Via Publica,911.0,Colonia,Las Margaritas,Avenida,Av Acapulco  Lirio  Col Margaritas,"25.714898, -100.157573",
51,2021,Enero-Marzo,2021-01-05,Martes,08:11:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Acapulco  Av Libaneces,"25.717681, -100.177004",
55,2021,Enero-Marzo,2021-01-05,Martes,17:26:00,Crucero Con Huida,Peritaje,911.0,Colonia,Mujeres Ilustres,Avenida,Gertrudis  Bocanegra  Av Sendero,"25.763045, -100.260943",
60,2021,Enero-Marzo,2021-01-06,Miercoles,07:35:00,S/D,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Paseo Arces  Paseo Jacarandas,"25.746952, -100.186964",
61,2021,Enero-Marzo,2021-01-06,Miercoles,04:00:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Concordia  Jesus Dionicio Gzz,"25.783908, -100.2246",
64,2021,Enero-Marzo,2021-01-06,Miercoles,18:00:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Ojo De Agua  Santo Domingo,"25.775079, -100.217471",
66,2021,Enero-Marzo,2021-01-06,Miercoles,18:45:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Blvd Carlos Salinas De Gortari  Ex Hda San Francisco,"25.778354, -100.181593",
67,2021,Enero-Marzo,2021-01-06,Miercoles,15:30:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Villa Juarez  Gaspar Castaño,"25.740994, -100.158849",
75,2021,Enero-Marzo,2021-01-07,Jueves,17:11:00,Alcance Con Estrellamiento,Agencia De Ministerio Publico,911.0,Colonia,Centro,Carretera,Autopista Al Aeropuerto  Ant Cam Dulces Nombres,"25.728728, -100.083212",
76,2021,Enero-Marzo,2021-01-07,Jueves,19:20:00,Lateral,Peritaje,911.0,Colonia,Centro,Carretera,Miguel Aleman  Periferico  Parque Stiva,"25.786882, -100.152547",
78,2021,Enero-Marzo,2021-01-07,Jueves,21:35:00,Crucero,Peritaje,911.0,Colonia,Valle Azul,Carretera,Lat Aeropuerto  Internacional,"25.788139, -100.138727",
80,2021,Enero-Marzo,2021-01-07,Jueves,23:10:00,Diverso (De Reversa ),Solucionado En La Via Publica,911.0,Colonia,San Andres,Carretera,Gardenias  Camelico  Col Jardines San Andres,"25.802193, -100.239514",
81,2021,Enero-Marzo,2021-01-08,Viernes,02:30:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Huinala,Avenida,Av Luis Donaldo Colosio  Alemania El Sabinal,"25.758332, -100.175421",
83,2021,Enero-Marzo,2021-01-08,Viernes,07:00:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Miguel Aleman  Av Villa Juarez,"25.777147, -100.184016",
85,2021,Enero-Marzo,2021-01-08,Viernes,08:32:00,Lateral Con Proyeccion,Peritaje,911.0,Colonia,Centro,Avenida,Miguel Aleman  Zaragoza,"25.776676, -100.186121",
87,2021,Enero-Marzo,2021-01-08,Viernes,14:00:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Magnolias,Calle,Estacionamiento Soriana Fresnos,"25.773009, -100.259492",
91,2021,Enero-Marzo,2021-01-08,Viernes,21:30:00,Alcance,Peritaje,911.0,Colonia,Los Ebanos,Avenida,Camino Real  Av Sta Cecilia,"25.776232, -100.239689",
93,2021,Enero-Marzo,2021-01-09,Sabado,01:25:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Centro,Carretera,Concordia  Carlos Salinas De Gortari,"25.768149, -100.198403",
94,2021,Enero-Marzo,2021-01-09,Sabado,02:20:00,Diverso,Peritaje,911.0,Colonia,Centro,Carretera,Autopista  Aeropuerto  Dulces Nombres,"25.728728, -100.083212",
96,2021,Enero-Marzo,2021-01-09,Sabado,09:20:00,Salida De Superficie De Rodamiento,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Telefonos  Luis Donaldo Colosio,"25.756463, -100.181455",
103,2021,Enero-Marzo,2021-01-09,Sabado,15:50:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Cerrada De Casa Blanca,Avenida,Av Miguel Aleman  Via Matamoros,"25.742418, -100.234704",
105,2021,Enero-Marzo,2021-01-09,Sabado,17:20:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Santa Rosa,Boulevard,Blvd Jesus  Dionicio Gzz  Blvd Sta Rosa,"25.819813, -100.221034",
107,2021,Enero-Marzo,2021-01-09,Sabado,15:00:00,Crucero,Peritaje,911.0,Colonia,Centro,Calle,Reforma  Morelos,"25.784624, -100.18998",
108,2021,Enero-Marzo,2021-01-09,Sabado,14:00:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Centro,Avenida,Av Orquidea  Ignacio Villarreal,"25.70868, -100.163195",
109,2021,Enero-Marzo,2021-01-09,Sabado,14:00:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Lat Miguel Aleman  Elias Flores,"25.778922, -100.179663",
111,2021,Enero-Marzo,2021-01-09,Sabado,18:50:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Santa Monica,Avenida,Escobedo  Sta Maria Col Sta Rosa,"25.737915, -100.163483",
114,2021,Enero-Marzo,2021-01-10,Domingo,10:00:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Centro,Calle,Chapultepec  Benito Juarez,"25.784466, -100.18425",
116,2021,Enero-Marzo,2021-01-10,Domingo,06:20:00,Alcance,Peritaje,911.0,Colonia,Antiguo Santa Rosa,Avenida,Av Andromeda  Valle Del Mixteco,"25.792463, -100.229828",
118,2021,Enero-Marzo,2021-01-10,Domingo,06:20:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Campestre Huinala,Carretera,Villa Juarez  Hda Campanario,"25.727364, -100.144694",
119,2021,Enero-Marzo,2021-01-10,Domingo,17:40:00,Lateral,Solucionado En La Via Publica,911.0,Residencial,Los Robles,Avenida,Av Conquistadores  Costa De Marfil,"25.784534, -100.25888",
121,2021,Enero-Marzo,2021-01-11,Lunes,01:35:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,E Sexta  San Gabriel  Col Valle De San Andres,"25.79967, -100.248557",
122,2021,Enero-Marzo,2021-01-11,Lunes,09:12:00,Alcance Con Estrellamiento,Investigaciones,911.0,Colonia,Centro,Avenida,Concordia  San Francisco,"25.767272, -100.198354",
128,2021,Enero-Marzo,2021-01-11,Lunes,17:15:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Lat Miguel Aleman  Villa Juarez,"25.779938, -100.174992",
132,2021,Enero-Marzo,2021-01-11,Lunes,18:00:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Carr San Miguel  El Campanario  Col El Campanario,"25.723706, -100.166423",
139,2021,Enero-Marzo,2021-01-12,Martes,16:48:00,Alcance,Investigaciones,911.0,Colonia,Centro,Avenida,Av Del Telefonos  Pluvial,"25.756456, -100.18141",
140,2021,Enero-Marzo,2021-01-12,Martes,17:30:00,Lateral,Peritaje,911.0,Residencial,Los Robles,Avenida,Afganistan  Av Strauss Col Robles,"25.775785, -100.258169",
143,2021,Enero-Marzo,2021-01-12,Martes,03:00:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Santa Rosa,Avenida,Humberto Ramos Lozano  Lucio Blanco,"25.825591, -100.227463",
151,2021,Enero-Marzo,2021-01-13,Miercoles,14:10:00,Diverso,Solucionado En La Via Publica,911.0,Colonia,Centro,Calle,Morelos  Hidalgo,"25.781499, -100.188059",
152,2021,Enero-Marzo,2021-01-13,Miercoles,16:30:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Fresnos,Calle,Los Fresnos  De Las Arboledas Los Frenos,"25.768798, -100.252224",
153,2021,Enero-Marzo,2021-01-13,Miercoles,17:30:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Carr Dulces Nombres  Autopista Aeropuerto,"25.728728, -100.083212",
155,2021,Enero-Marzo,2021-01-13,Miercoles,19:00:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Miguel Aleman  Villa Juarez,"25.777055, -100.183808",
161,2021,Enero-Marzo,2021-01-13,Miercoles,00:20:00,De Frente,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Carr Villa Juarez  Gaspar Castaño,"25.740903, -100.15878",
165,2021,Enero-Marzo,2021-01-15,Viernes,13:44:00,Lateral,Peritaje,911.0,Colonia,Valle Azul,Carretera,Miguel Aleman  Blvd Aeropuerto,"25.789916, -100.142711",
168,2021,Enero-Marzo,2021-01-15,Viernes,12:28:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Centro,Calle,Elias Flores  Ignacio Aldama,"25.780283, -100.18046",
169,2021,Enero-Marzo,2021-01-15,Viernes,15:00:00,Alcance,Solucionado En La Via Publica,911.0,Fraccionamiento,Centro,Carretera,Ant Cam Al Mezquital,"25.764688, -100.242518",
170,2021,Enero-Marzo,2021-01-15,Viernes,15:30:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Los Tres Nogales,Avenida,Gaspar Castaño  Valle De Sto Tomas,"25.719659, -100.167907",
172,2021,Enero-Marzo,2021-01-15,Viernes,17:50:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Lat Miguel Aleman  Andres Guajardo,"25.776424, -100.186023",
175,2021,Enero-Marzo,2021-01-15,Viernes,21:40:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Santa Rosa,Calle,Dr Eleuterio Gonzalez  Chapultepec,"25.785973, -100.18518",
176,2021,Enero-Marzo,2021-01-15,Viernes,21:15:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Santa Rosa,Avenida,Av Rio Pesqueria  Real Sta Rosa,"25.817621, -100.228162",
180,2021,Enero-Marzo,2021-01-15,Viernes,09:00:00,Lateral,Peritaje,911.0,Colonia,Centro,Avenida,Libramiento Norte  Jeronimo Treviño,"25.786521, -100.182097",
181,2021,Enero-Marzo,2021-01-15,Viernes,10:40:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Gaspar Castaño  Paseo De Los Acantos,"25.712057, -100.163529",
185,2021,Enero-Marzo,2021-01-15,Viernes,17:30:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Centro,Calle,Miguel Aleman  Plñaca Comercial Alianza,"25.739568, -100.206173",
186,2021,Enero-Marzo,2021-01-15,Viernes,15:30:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Santa Cecilia,Avenida,Av Sta Cecilia   Col Sta Cecilia,"25.775142, -100.236703",
190,2021,Enero-Marzo,2021-01-15,Viernes,10:40:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Metroplex,Avenida,Av Andromeda  Fenix Ebanos,"25.790641, -100.24857",
191,2021,Enero-Marzo,2021-01-16,Sabado,00:15:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Nuevo Amanecer,Calle,Belgica  Argelia Nuevo Amanecer,"25.781161, -100.248838",
193,2021,Enero-Marzo,2021-01-16,Sabado,01:30:00,Alcance Con Estrellamiento,Peritaje,911.0,Residencial,Los Robles,Avenida,Strauss  Av Concordia,"25.784561, -100.259018",
195,2021,Enero-Marzo,2021-01-16,Sabado,05:30:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Los Pinos,Avenida,Av Gatemala  Hda San Carlos,"25.773881, -100.247798",
198,2021,Enero-Marzo,2021-01-16,Sabado,09:10:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Concordia  Blvd Carlos Salinas De Gortari,"25.768175, -100.198393",
201,2021,Enero-Marzo,2021-01-16,Sabado,14:30:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Lat Miguel Aleman  Retorno Agua Fria,"25.780346, -100.175177",
208,2021,Enero-Marzo,2021-01-16,Sabado,21:20:00,Crucero,Peritaje,911.0,Colonia,Valle De Huinala,Avenida,Orquidea  Valle De Guadalajara,"25.743163, -100.190008",
210,2021,Enero-Marzo,2021-01-16,Sabado,23:07:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Nueva Las Puentes,Avenida,Av De La Concordia  Maria Curie,"25.784307, -100.262659",
212,2021,Enero-Marzo,2021-01-17,Domingo,07:10:00,Diverso (Incendio De Vehiculo ),Peritaje,911.0,Colonia,Arboledas Del Virrey,Avenida,Ebanos  Granades (Arboledas Del Virrey ),"25.767139, -100.246518",
214,2021,Enero-Marzo,2021-01-17,Domingo,12:00:00,Alcance,Peritaje,911.0,Colonia,Nuevo Las Puentes,Avenida,Concordia  O Primera Col Metroplex,"25.784684, -100.255968",
221,2021,Enero-Marzo,2021-01-18,Lunes,05:45:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Santa Cecilia,Avenida,Av Santa Cecilia  Jaime Sabines,"25.775049, -100.234448",
224,2021,Enero-Marzo,2021-01-18,Lunes,08:50:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Portal De Huinala,Avenida,San Isidro  Prtal De Albacete,"25.755458, -100.152683",
226,2021,Enero-Marzo,2021-01-18,Lunes,12:00:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Ruben  Garcia  Humberto Ramos Lozano,"25.797548, -100.202128",
227,2021,Enero-Marzo,2021-01-18,Lunes,12:20:00,De Frente,Solucionado En La Via Publica,911.0,Colonia,Pueblo Nuevo,Avenida,Rio Orinoco  Rio Balsas Col Pueblo Nuevo,"25.755993, -100.15847",
231,2021,Enero-Marzo,2021-01-18,Lunes,17:00:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Sto Domingo  Cam Real Sta Rosa,"25.76886, -100.230652",
234,2021,Enero-Marzo,2021-01-19,Martes,09:50:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,San Miguel,Avenida,Vicente Guerrero  Av Acapulco Col San Miguel,"25.714427, -100.168713",
236,2021,Enero-Marzo,2021-01-19,Martes,09:40:00,Diverso,Peritaje,911.0,Colonia,Centro,Avenida,Isidoro Epulveda  Av Del Parque,"25.743751, -100.219229",
237,2021,Enero-Marzo,2021-01-19,Martes,11:30:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Puevblo Nuevo,Avenida,Rio Aconcgua  Rio Pilon  Pueblo Nuevo,"25.759322, -100.168505",
238,2021,Enero-Marzo,2021-01-19,Martes,09:00:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Lat Miguel Aleman  Carlos Salinas De Gortari,"25.776516, -100.186327",
247,2021,Enero-Marzo,2021-01-20,Miercoles,05:50:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Concordia  San Francisco,"25.772532, -100.200591",
251,2021,Enero-Marzo,2021-01-20,Miercoles,15:00:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Arco Vial  Lat Miguel Aleman,"25.779559, -100.17763",
254,2021,Enero-Marzo,2021-01-20,Miercoles,17:40:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Lat Miguel Aleman  Isidoro Sepulveda,"25.736858, -100.207851",
258,2021,Enero-Marzo,2021-01-21,Jueves,00:20:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Prados De Santa Rosa,Avenida,Gaseducto  Magnolia,"25.796867, -100.226965",
259,2021,Enero-Marzo,2021-01-21,Jueves,07:00:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Centro,Calle,Juarez  Madero,"25.779261, -100.194586",
262,2021,Enero-Marzo,2021-01-21,Jueves,09:20:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Centro,Avenida,Camino Sta Rosa  Av Valle De La Rioja,"25.817668, -100.21391",
263,2021,Enero-Marzo,2021-01-21,Jueves,09:30:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Jardines De Los Pinos,Avenida,Hda Del Vergel  Los Pinos,"25.775735, -100.245336",
265,2021,Enero-Marzo,2021-01-21,Jueves,10:30:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Concordia  Sto Domingo  Col Privada Concordia,"25.777854, -100.213697",
266,2021,Enero-Marzo,2021-01-21,Jueves,10:20:00,Alcance,Peritaje,911.0,Colonia,Huinala,Avenida,Gaspar Castaño  Villa Juarez,"25.740959, -100.158881",
267,2021,Enero-Marzo,2021-01-21,Jueves,01:45:00,De Frente,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Ant Cam Agua Fria  Periferico,"25.783372, -100.164852",
270,2021,Enero-Marzo,2021-01-21,Jueves,18:00:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Cncordia  San Francisco,"25.767255, -100.198378",
272,2021,Enero-Marzo,2021-01-21,Jueves,18:45:00,De Reversa,Solucionado En La Via Publica,911.0,Colonia,Los Alamos,Calle,Alamo Rojo  Valle De Flos Alamos,"25.730804, -100.188513",
277,2021,Enero-Marzo,2021-01-21,Jueves,23:00:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Prados De Santa Rosa,Avenida,Av Del Lago  Col Bosque Sta Rosa,"25.807874, -100.231024",
279,2021,Enero-Marzo,2021-01-22,Viernes,08:10:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Centro,Calle,Oaxaca  Morelos,"25.788729, -100.18744",
280,2021,Enero-Marzo,2021-01-22,Viernes,11:00:00,Choque Con Movil De Vehiculo,Peritaje,911.0,Colonia,Santa Rosa,Avenida,Humberto Ramos Lozano  Lucio Blanco,"25.825596, -100.227409",
281,2021,Enero-Marzo,2021-01-22,Viernes,09:30:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Hacienda Los Pinos,Calle,San Andres  Angorada,"25.771812, -100.250283",
283,2021,Enero-Marzo,2021-01-22,Viernes,10:30:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Carr Miguel Aleman  Via Matamoros,"25.758148, -100.196411",
286,2021,Enero-Marzo,2021-01-22,Viernes,10:10:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Miguel Aleman  Julian Treviño,"25.748041, -100.201341",
287,2021,Enero-Marzo,2021-01-22,Viernes,10:30:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Carr Miguel Aleman  Via Matamoros,"25.757985, -100.195922",
293,2021,Enero-Marzo,2021-01-22,Viernes,19:00:00,Alcance,Peritaje,911.0,Colonia,Valle Azul,Calle,Valle Azul  Vallde De Las Aguas,"25.797705, -100.15678",
299,2021,Enero-Marzo,2021-01-23,Sabado,10:00:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Centro,Calle,Libaneses  Pirineos,"25.712817, -100.176581",
300,2021,Enero-Marzo,2021-01-23,Sabado,07:38:00,Lateral,Peritaje,911.0,Colonia,Alberta Escamilla,Avenida,Rhodesia  Telefonfos,"25.730105, -100.172199",
302,2021,Enero-Marzo,2021-01-23,Sabado,14:00:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Humberto Ramos Lozano  Av Americas,"25.809062, -100.211854",
305,2021,Enero-Marzo,2021-01-23,Sabado,15:35:00,Salida De Superficie De Rodamiento,Agencia De Ministerio Publico,911.0,Colonia,Centro,Avenida,Ant Cam Sto Domingo  Valle,"25.761409, -100.243614",
308,2021,Enero-Marzo,2021-01-23,Sabado,13:20:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Concordia  Av Jesus Dionicio Gzz,"25.783856, -100.224572",
313,2021,Enero-Marzo,2021-01-23,Domingo,02:00:00,De Frente,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Dr Canelo  Av Los Fresnos,"25.768449, -100.250512",
315,2021,Enero-Marzo,2021-01-23,Domingo,07:15:00,Salida De Superficie De Rodamiento,Peritaje,911.0,Colonia,2 Sector,Avenida,Gaspar Castaño  Rhodesia  Del Nte,"25.731361, -100.157271",
318,2021,Enero-Marzo,2021-01-23,Domingo,17:00:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Telefonos  Av Libaneses,"25.724841, -100.17461",
322,2021,Enero-Marzo,2021-01-25,Lunes,07:30:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Santa Rosa,Carretera,Blvd Humberto Ramos Lozano  Frente A Metalsa Col Renaceres,"25.819256, -100.220127",
325,2021,Enero-Marzo,2021-01-25,Lunes,12:00:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Parque Industrial Milimex,Carretera,Carr Miguel Aleman  Milimex Col El Milagro,"25.752847, -100.198793",
330,2021,Enero-Marzo,2021-01-25,Lunes,20:10:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Pueblo Nuevo,Calle,Rio Potumac  Rio Tuxpan,"25.759762, -100.158301",
332,2021,Enero-Marzo,2021-01-26,Martes,05:30:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Centro,Avenida,Ojo De Agua  Industrias  Frente A Dream Lagoons,"25.767372, -100.211655",
337,2021,Enero-Marzo,2021-01-26,Martes,09:30:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Metroplex,Avenida,E Sexta  Av Galaxia,"25.787668, -100.24896",
338,2021,Enero-Marzo,2021-01-26,Martes,11:00:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Fraccionamiento,Avenida,Humberto Ramos Lozano  Andromeda Col Cosmopolis,"25.830622, -100.245",
340,2021,Enero-Marzo,2021-01-26,Martes,13:35:00,Diverso,Peritaje,911.0,Colonia,Centro,Avenida,Av Miguel Aleman  Telefonos,"25.766843, -100.191307",
343,2021,Enero-Marzo,2021-01-26,Martes,17:25:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Humberto Ramos Lozano  Oaxaca,"25.78585, -100.18962",
344,2021,Enero-Marzo,2021-01-26,Martes,18:55:00,Crucero,Peritaje,911.0,Colonia,Fresnos,Calle,Del Olmo  De Las Arboledas Los Frenos,"25.766395, -100.249106",
348,2021,Enero-Marzo,2021-01-26,Martes,19:20:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Carr A Huinala  Calle De Los Magueyes,"25.719156, -100.168213",
350,2021,Enero-Marzo,2021-01-26,Martes,22:45:00,Estrellamiento Con Huida,Peritaje,911.0,Colonia,Fresnos,Calle,Calle Sosas 3078 Senegal,"25.769625, -100.242805",
353,2021,Enero-Marzo,2021-01-27,Miercoles,07:30:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Mision De San Miguel,Calle,Carr San Miguel Valle Sto Tomas San Miguel,"25.71926, -100.174567",
354,2021,Enero-Marzo,2021-01-27,Miercoles,08:40:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Santa Rosa,Carretera,Humberto Ramos Lozano  Moises Saenz Col Sta Rosa,"25.827666, -100.227534",
355,2021,Enero-Marzo,2021-01-27,Miercoles,10:18:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Valle De Huinala,Calle,Niño Artillero  Tlapacoya  Col Valle De Huinala,"25.740905, -100.197527",
357,2021,Enero-Marzo,2021-01-27,Miercoles,10:30:00,Crucero,Solucionado En La Via Publica,911.0,Colonia,Pueblo Nuevo,Calle,Rio Bravo  Rio Sena Col Pueblo Nuevo,"25.762745, -100.164786",
358,2021,Enero-Marzo,2021-01-27,Miercoles,12:00:00,Lateral,Agencia De Ministerio Publico,911.0,Colonia,Lomas De Huinala,Calle,Suizos  Rumanos Col Roberto Espinoza,"25.729532, -100.173828",
362,2021,Enero-Marzo,2021-01-27,Miercoles,16:20:00,Estrellamiento (Derribamiento De Cables ),Solucionado En La Via Publica,911.0,Colonia,Jacarandas,Avenida,Av Margarito Garza  Julian Treviño,"25.744913, -100.180103",
